,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
,,,,,,,,SCPMK30300502,Mahasiswa mampu berkomunikasi secara mandiri dengan menggunakan bahasa Inggris secara lisan dan tulisan dalam konteks Teknik Informatika.,Guided Practice (Latihan Terbimbing),"Ceramah dan tanya jawab
Small group discussion","Quiz, Unjuk Kerja (Presentasi), Tes Tulis (UTS), Tes Tulis (UAS), Tes Lisan (Tugas Kelompok), Partisipasi","Ketepatan komunikasi lisan dan tulisan secara mandiri, kejelasan struktur kalimat dan kosakata teknis","Website, Careers in IT, IT Support Staff, Workstation Health and Safety - grammatical functions (if-clause, modals, passive sentences) dalam konteks Teknik Informatika",,,
"Imam Fahrur Rozi, ST., MT.
",MK006,Dasar Pemrograman,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK13
BK14","Programming Languages
Programming Fundamentals ",CPMK903,"Mahasiswa mampu menjelaskan prinsip logika komputasi, teknik dasar pemrograman dan algoritma untuk menganalisis dan menyelesaikan permasalahan.",SCPMK903-00601,"- Mahasiswa mampu menjelaskan konsep algoritma, variabel, konstanta, tipe data, serta mengevaluasi ekspresi logika/aritmatika dalam memecahkan masalah sederhana.
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Ceramah materi dengan pendalaman berupa studi kasus,"Quiz, Tes Tulis (UTS), Tes Tulis (UAS)",Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"Konsep Algoritma, Bahasa Pemrograman, Tipe Data, Variabel, Konstanta, Nilai, Ekspresi, Input-Output, Sequence, Analisa Kasus, Pemilihan, Perulangan, Array, Fungsi","SUB-CPMK 1
Mahasiswa mengenal konsep dasar algoritma serta mampu menganalisis permasalahan sederhana ke dalam bentuk algoritma [C2, A3]
SUB-CPMK 2
Mahasiswa memahami tentang pentingnya version dan cara version control bekerja.
Mahasiswa memahami prinsip-prinsip dasar Kanban (visualisasi alur kerja, pembatasan pekerjaan yang sedang berlangsung, dan peningkatan berkelanjutan).
[C2, A3] 
SUB-CPMK 2
Mahasiswa memahami dan mampu menjelaskan tentang Tipe Data, Variabe, Input-output, Sequence, Operator (Penugasan Aritmatika, Penugasan Gabungan, Increment, Decrement, Relasional, Logika, Kondisional, Bitwise, Casting) dan mampu menerapkannya dalam penulisan algoritma [C4, A3] 
SUB-CPMK 3
Mahasiswa mampu menjelaskan tentang konsep pemilihan sederhana dan bersarang, serta mampu menuliskan algoritma pemilihan untuk menyelesaikan studi kasus dengan menggunakan flowchart 
SUB-CPMK 4
Mahasiswa mampu memahami algoritma perulangan sederhana dan perulangan bersarang, serta mampu menggambarkan permasalahan studi kasus dengan menggunakan flowchart [C4, A3, P2] 
SUB-CPMK 5
Mahasiswa mampu memahami konsep array 1 dimensi dan 2 dimensi, serta mampu menyelesaikan studi kasus dengan penggunaan Array 1 dimensi dan 2 Dimensi 
SUB-CPMK 6
Mahasiswa mampu menjelaskan konsep fungsi iteratif dan rekursif, membuat / mendeklarasikan fungsi, pemanggilan fungsi serta mampu menerapkannya dalam menyusun algoritma penyelesaian masalah [C4, A3,P2] ","Konsep Algoritma, Bahasa Pemrograman, Tipe Data, Variabel, Konstanta, Nilai, Ekspresi, Input-Output, Sequence, Analisa Kasus, Pemilihan, Perulangan, Array, Fungsi",Dasar Pemrograman memberikan pengetahuan dan pemahaman konsep dasar algoritma dan dasar pemrograman sehingga dalam mata kuliah ini mahasiswa memiliki dasar untuk menyelesaikan permasalahan-permasalahan logika dengan menggunakan flowchart dan pseudocode.
,,,,,,,,SCPMK903-00602,- Mahasiswa mampu merancang alur logika penyelesaian masalah menggunakan instrumen Flowchart dan Pseudocode dengan menerapkan prinsip urutan (sequence).,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Ceramah materi dengan pendalaman berupa studi kasus,"Quiz, Tes Tulis (UTS)",Ketepatan penyusunan flowchart dan pseudocode sesuai prinsip urutan (sequence),"Flowchart, pseudocode, dan prinsip urutan (sequence) dalam penyusunan alur logika program",,,
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna","BK13
BK14","Programming Languages
Programming Fundamentals ",CPMK704,Mampu menganalisis kebutuhan pemecahan masalah dan mengembangkan program menggunakan berbagai bahasa dan paradigma pemrograman secara tepat guna,SCPMK704-00601,"- Mahasiswa mampu menganalisis kebutuhan logika dan mengimplementasikannya menggunakan struktur kontrol Pemilihan (Selection) serta Perulangan (Looping) dalam bahasa pemrograman untuk menyelesaikan masalah komputasi.
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Ceramah materi dengan pendalaman berupa diskusi dan studi kasus,"Quiz, Tes Tulis (UTS), Tes Tulis (UAS)",Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"Konsep Algoritma, Bahasa Pemrograman, Tipe Data, Variabel, Konstanta, Nilai, Ekspresi, Input-Output, Sequence, Analisa Kasus, Pemilihan, Perulangan, Array, Fungsi",,,
,,,,,,,,SCPMK704-00602,- Mahasiswa mampu mengembangkan program yang efisien dan modular dengan menerapkan struktur data Array serta pengorganisasian kode menggunakan Fungsi.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Ceramah materi dengan pendalaman berupa diskusi dan studi kasus,"Quiz, Tes Tulis (UAS)",Ketepatan implementasi array dan fungsi dalam menghasilkan program yang efisien dan modular,Array dan Fungsi sebagai dasar pemrograman modular dan efisien,,,
"Imam Fahrur Rozi, ST., MT.",MK007,Praktikum Dasar Pemrograman,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK13
BK14","Programming Languages
Programming Fundamentals ",CPMK903,"Mahasiswa mampu menjelaskan prinsip logika komputasi, teknik dasar pemrograman dan algoritma untuk menganalisis dan menyelesaikan permasalahan.",SCPMK903-00701,"- Mahasiswa mampu mengoperasikan perangkat lunak pemrograman (IDE) dan menyusun kode program sederhana menggunakan tipe data, variabel, dan ekspresi yang tepat.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum dan studi kasus,"Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok), Partisipasi","Ketepatan dalam menyelesaikan tahapan praktikum, soal yang diberikan di setiap jobsheet dan studi kasus","Konsep Algoritma, Bahasa Pemrograman, Tipe Data, Variabel, Konstanta, Nilai, Ekspresi, Input-Output, Sequence, Analisa Kasus, Pemilihan, Perulangan, Array, Fungsi",,,
,,,,,,,,SCPMK903-00702,"
- Mahasiswa mampu mengimplementasikan rancangan flowchart dan pseudocode ke dalam sintaks bahasa pemrograman menggunakan prinsip urutan (sequence).",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum dan studi kasus,"Observasi (Praktik/ Tugas), Partisipasi",Ketepatan implementasi flowchart dan pseudocode ke dalam sintaks program sesuai prinsip urutan,Implementasi flowchart dan pseudocode ke dalam sintaks bahasa pemrograman (sequence),,,
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna","BK13
BK14","Programming Languages
Programming Fundamentals ",CPMK704,Mampu menganalisis kebutuhan pemecahan masalah dan mengembangkan program menggunakan berbagai bahasa dan paradigma pemrograman secara tepat guna,SCPMK704-00701,- Mahasiswa mampu membangun aplikasi sederhana yang menerapkan struktur kontrol pemilihan dan perulangan untuk menyelesaikan berbagai kasus logika.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum dan studi kasus,"Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok)",Ketepatan penerapan struktur kontrol pemilihan dan perulangan dalam aplikasi sederhana yang dibangun,Struktur kontrol pemilihan (selection) dan perulangan (looping) dalam pembangunan aplikasi sederhana,,,
,,,,,,,,SCPMK704-00702,- Mahasiswa mampu menciptakan program yang modular menggunakan fungsi dan mengelola sekumpulan data melalui array untuk menghasilkan solusi yang efisien.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum dan studi kasus,"Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok), Partisipasi","Ketepatan dalam menyelesaikan tahapan praktikum, soal yang diberikan di setiap jobsheet dan studi kasus","Konsep Algoritma, Bahasa Pemrograman, Tipe Data, Variabel, Konstanta, Nilai, Ekspresi, Input-Output, Sequence, Analisa Kasus, Pemilihan, Perulangan, Array, Fungsi",,,
"Titis Octary Satrio, S.ST., M.MT.",MK008,Keselamatan dan Kesehatan Kerja,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK01,"Social Issues and Professional Practice
",CPMK101,"Mampu menunjukkan profesionalisme melalui penerapan etika profesi TI, keselamatan kerja, kewirausahaan bertanggung jawab, rekayasa perangkat lunak ramah lingkungan, dan disiplin dalam penelitian maupun penerapan aplikasi teknologi",SCPMK101-00801,"Mahasiswa mampu mengimplementasikan teori, konsep, dan prinsip ilmu keselamatan dan kesehatan kerja dalam rangka menerapkan derajat kesehatan pada para pekerja.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi Kelompok",Tes Tulis (UTS),Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"Definisi, Sejarah, Tujuan dan Arti Lambang K3",,"Keselamatan kerja. Mahasiswa mengerti lingkup kesehatan; lingkungan kerja; keselamatan kerja; asuransi kerja dan organisasi
kerja yang menjadi bagian dari sebuah sistem tenaga kerja.
1. Konsep K3; Sejarah kesehatan dan keselamatan kerja, Pengertian K3, Tujaun K3
2. Undang-undang K3; undang-undang yang melandasi K3, Peraturan Pemerintahan
3. Kesehatan masyarakat; dasar peraturan, Pemeriksaan kesehatan sebelum kerja, Pemeriksaan setelah kerja
4. Lingkungan kerja; Lingkungan kerja fisik dan non fisik
5. Keselamatan kerja; faktor yang berpengaruh, sumber bahaya, pencegahan kecelakaan kerja
6. Alat-alat keselamatan kerja
7. Organisasi k3; maksud dan tujuan organisasi dan tujuan organisasi K3
8. Asuransi; prinsip dasar, jenis-jenis dan klaim asuransi
9. Penerapan protokol kesehatan di pendidikan dan industri era new normal
10. Implementasi k3 untuk menciptakan inovasi revolusi industri 4.0","Mampu mengimplementasikan teori, konsep, dan prinsip ilmu keselamatan dan kesehatan kerja dalam rangka meningkatkan derajat
kesehatan pada para pekerja.
Mahasiswa mengetahui perundang-undangan yang menjadi dasar semua kebijakan yang berhubungan dengan Kesehatan dan"
,,,,,,,,SCPMK101-00802,Mahasiswa mengetahui perundang-undangan yang menjadi dasar semua kebijakan yang berhubungan dengan keselamatan dan kesehatan kerja,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi Kelompok",Tes Tulis (UAS),Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"Landasan Hukum, Audit K3",,,
,,,,,,,,SCPMK101-00803,"Mahasiswa mengerti lingkup kesehatan, lingkungan, keselamatan, asuransi dan organisasi kerja yang menjadi bagian dari sebuah sistem tenaga kerja",Bermain Peran dan Simulasi (Role-Play And Simulation),"Ceramah, Diskusi Kelompok, Presentasi",Unjuk Kerja (Presentasi),Ketepatan dalam menyelesaikan soal studi kasus yang diberikan di tiap pertemuan,"Lingkungan Kerja Fisik/Non Fisik, Alat Pelindung Diri, dan Sistem Informasi K3",,,
